FILENAME,IDENTITY
(a) Benzyl Penicillin-1.png, (a) Benzyl Penicillin-1
(a) Benzyl Penicillin-2.png, (a) Benzyl Penicillin-2
(a) Benzyl Penicillin-3.png, (a) Benzyl Penicillin-3
(a) Benzyl Penicillin-5.png, (a) Benzyl Penicillin-5
(a) Benzyl Penicillin.png, (a) Benzyl Penicillin
(a) Oxytetracyclline-1.png, (a) Oxytetracyclline-1
(a) Oxytetracyclline-3.png, (a) Oxytetracyclline-3
(a) Oxytetracyclline-4.png, (a) Oxytetracyclline-4
(a) Oxytetracyclline-5.png, (a) Oxytetracyclline-5
(a) Propanolol-1.png, (a) Propanolol-1
(a) Propanolol-2.png, (a) Propanolol-2
(a) Propanolol-3.png, (a) Propanolol-3
(a) Propanolol-4.png, (a) Propanolol-4
(a) Propanolol-5.png, (a) Propanolol-5
(a) Propanolol.png, (a) Propanolol
(b) Benzathine Benzyl Penicillin-1.png, (b) Benzathine Benzyl Penicillin-1
(b) Benzathine Benzyl Penicillin-2.png, (b) Benzathine Benzyl Penicillin-2
(b) Benzathine Benzyl Penicillin-3.png, (b) Benzathine Benzyl Penicillin-3
(b) Benzathine Benzyl Penicillin-4.png, (b) Benzathine Benzyl Penicillin-4
(b) Benzathine Benzyl Penicillin.png, (b) Benzathine Benzyl Penicillin
(b) Chlortetracycline-1.png, (b) Chlortetracycline-1
(b) Chlortetracycline-2.png, (b) Chlortetracycline-2
(b) Chlortetracycline-3.png, (b) Chlortetracycline-3
(b) Chlortetracycline-4.png, (b) Chlortetracycline-4
(b) Chlortetracycline-5.png, (b) Chlortetracycline-5
(b) Chlortetracycline.png, (b) Chlortetracycline
(b) Isopreterenol-1.png, (b) Isopreterenol-1
(b) Isopreterenol-2.png, (b) Isopreterenol-2
(b) Isopreterenol-4.png, (b) Isopreterenol-4
(b) Isopreterenol-5.png, (b) Isopreterenol-5
(b) Isopreterenol.png, (b) Isopreterenol
(c) Doxycycline-2.png, (c) Doxycycline-2
(c) Doxycycline-3.png, (c) Doxycycline-3
(c) Doxycycline-4.png, (c) Doxycycline-4
(c) Procane Benzyl Penicillin-1.png, (c) Procane Benzyl Penicillin-1
(c) Procane Benzyl Penicillin-3.png, (c) Procane Benzyl Penicillin-3
(c) Procane Benzyl Penicillin-5.png, (c) Procane Benzyl Penicillin-5
(c) Procane Benzyl Penicillin.png, (c) Procane Benzyl Penicillin
(c) Sotalol-1.png, (c) Sotalol-1
(c) Sotalol-2.png, (c) Sotalol-2
(c) Sotalol-4.png, (c) Sotalol-4
(c) Sotalol-5.png, (c) Sotalol-5
(c) Sotalol.png, (c) Sotalol
(d) Dichloro Isopreterenol-1.png, (d) Dichloro Isopreterenol-1
(d) Dichloro Isopreterenol-2.png, (d) Dichloro Isopreterenol-2
(d) Dichloro Isopreterenol-4.png, (d) Dichloro Isopreterenol-4
(d) Dichloro Isopreterenol-5.png, (d) Dichloro Isopreterenol-5
(d) Phenoxymethylpenicilin-1.png, (d) Phenoxymethylpenicilin-1
(d) Phenoxymethylpenicilin-2.png, (d) Phenoxymethylpenicilin-2
(d) Phenoxymethylpenicilin-3.png, (d) Phenoxymethylpenicilin-3
(d) Phenoxymethylpenicilin-4.png, (d) Phenoxymethylpenicilin-4
(d) Phenoxymethylpenicilin-5.png, (d) Phenoxymethylpenicilin-5
(d) Phenoxymethylpenicilin.png, (d) Phenoxymethylpenicilin
(e) cloxacillin-1.png, (e) cloxacillin-1
(e) cloxacillin-2.png, (e) cloxacillin-2
(e) cloxacillin-3.png, (e) cloxacillin-3
(e) cloxacillin-4.png, (e) cloxacillin-4
(e) cloxacillin.png, (e) cloxacillin
(f) Ampicillin-1.png, (f) Ampicillin-1
(f) Ampicillin-2.png, (f) Ampicillin-2
(f) Ampicillin-3.png, (f) Ampicillin-3
(f) Ampicillin-4.png, (f) Ampicillin-4
(f) Ampicillin.png, (f) Ampicillin
(g) Amoxycilin-1.png, (g) Amoxycilin-1
(g) Amoxycilin-2.png, (g) Amoxycilin-2
(g) Amoxycilin-3.png, (g) Amoxycilin-3
(g) Amoxycilin-4.png, (g) Amoxycilin-4
6 – Mercaptopurine-3.png, 6 – Mercaptopurine-3
6 – Mercaptopurine.png, 6 – Mercaptopurine
Acepromazin Maliate-1.png, Acepromazin Maliate-1
Acepromazin Maliate-2.png, Acepromazin Maliate-2
Acepromazin Maliate-3.png, Acepromazin Maliate-3
Acepromazin Maliate-5.png, Acepromazin Maliate-5
Acetazolamide-1.png, Acetazolamide-1
Acetazolamide-2.png, Acetazolamide-2
Acetazolamide-3.png, Acetazolamide-3
Acetazolamide-4.png, Acetazolamide-4
Acetazolamide-5.png, Acetazolamide-5
Acetazolamide.png, Acetazolamide
Aceterphin hydrochloride-2.png, Aceterphin hydrochloride-2
Aceterphin hydrochloride-3.png, Aceterphin hydrochloride-3
Aceterphin hydrochloride-4.png, Aceterphin hydrochloride-4
